fdc_id,Calcium,Carbohydrate,Copper,Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Fiber,Folate,Folic acid,Iron,Magnesium,Niacin,Phosphorus,Protein,Retinol,Riboflavin,Selenium,Sugar,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin E,Zinc,FoV
2345299,49,7.3,0.066,31,0.068,0.169,0.09,3.1,27,0,0.73,17,0.64,50,1.24,0,0.032,0.7,3.93,0.01,48,0,0.047,12,0.58,0.2,Vegetable
2345304,16,3.63,0.041,15,0.005,0.032,0.037,0.5,7,0,0.28,13,0.098,24,0.65,0,0.033,0.3,1.67,0.027,5,0,0.04,2.8,0.03,0.2,Vegetable
2345305,9,5.88,0.081,25,0.016,0.076,0.034,3,22,0,0.23,14,0.649,24,0.98,0,0.037,0.3,3.53,0.039,1,0,0.084,2.2,0.3,0.16,Vegetable
2345307,12,8.82,0.048,38,0.005,0.043,0.021,4.9,12,0,0.6,12,0.2,18,0.72,0,0.029,0.7,1.8,0.02,1,0,0.042,20.2,0.46,0.16,Vegetable
2345308,24,6.2,0.129,27,0.007,0.048,0.013,3.6,16,0,0.4,19,0.4,46,1.7,0,0.02,0.7,2.6,0.05,2,0,0.15,62,0.48,0.03,Vegetable
2345313,5,4.13,0.364,31,0,0.16,0.05,1,35,0,0.23,10,3.913,93,2.9,0,0.453,19,1.98,0.053,0,0.04,0.082,2.1,0.01,0.5,Vegetable
2345317,25,14.45,0.176,81,0.035,0.187,0.071,5.7,65,0,1.47,33,2.09,108,5.42,0,0.132,1.8,5.67,0.266,38,0,0.169,40,0.13,1.24,Vegetable
2345319,9,5.13,0.049,22,0.008,0.095,0.058,1.8,23,0,0.37,11,0.655,22,0.91,0,0.048,0,3.03,0.056,67,0,0.247,97,0.79,0.17,Vegetable
2345320,10,4.64,0.066,20,0.008,0.062,0.058,1.7,10,0,0.34,10,0.48,20,0.86,0,0.028,0,2.4,0.057,18,0,0.224,80.4,0.37,0.13,Vegetable
2345321,7,6.03,0.017,26,0.007,0.156,0.059,2.1,46,0,0.43,12,0.979,26,0.99,0,0.085,0.1,4.2,0.054,157,0,0.291,127.7,1.58,0.25,Vegetable
2345322,14,5.35,0.094,27,0.027,0.243,0.048,3.4,29,0,0.46,17,1.242,32,1.66,0,0.054,0.3,1.95,0.081,17,0,0.357,82.7,0.69,0.25,Vegetable
2345323,25,3.4,0.05,16,0.017,0.048,0.032,1.6,25,0,0.34,10,0.254,20,0.68,0,0.039,0.6,1.86,0.012,0,0,0.071,14.8,0,0.28,Vegetable
2345324,43,8.62,0.032,37,0.025,0.088,0.027,2.3,21,0,0.44,20,0.7,53,1.08,0,0.04,0.7,4.46,0.09,0,0,0.1,25,0.3,0.24,Vegetable
2345325,129,7.94,0.226,41,0.06,0.125,0.146,0.7,174,0,2.28,77,1.18,60,3.51,0,0.275,0.7,0.58,0.069,95,0,0.054,15,0.96,0.89,Vegetable
2345326,43,7.55,0.079,42,0.021,0.089,0.039,2.6,42,0,2.08,24,0.6,53,2.8,0,0.08,0.7,4,0.15,54,0,0.16,60,0.39,0.27,Vegetable
2345327,21,3.88,0.092,19,0.013,0.082,0.093,1,19,0,0.44,20,0.448,32,1.01,0,0.041,0.2,2.88,0.051,8,0,0.104,19.3,0.13,0.29,Vegetable
2345328,16,3.11,0.053,17,0.011,0.091,0.084,1,24,0,0.37,18,0.451,38,1.21,0,0.094,0.2,2.5,0.045,10,0,0.163,17.9,0.12,0.32,Vegetable
2345329,30,6.43,0.085,28,0.006,0.053,0.011,1.8,15,0,0.3,11,0.4,27,0.9,0,0.03,0.7,3.8,0.04,0,0,0.09,21,0.03,0.27,Vegetable
2345330,32,6.12,0.04,27,0.02,0.075,0.034,1.2,20,0,0.33,12,0.353,33,0.82,0,0.056,0.5,2.62,0.056,489,0,0.146,5.8,0.72,0.16,Vegetable
2345331,40,2.97,0.035,14,0.032,0.079,0.042,1.6,36,0,0.2,11,0.32,24,0.69,0,0.057,0.4,1.34,0.021,22,0,0.074,3.1,0.27,0.13,Vegetable
2345348,30,2.48,0.03,78,2.776,0.88,2.338,1,29,0,0.76,13,0.886,46,2.99,1,0.077,3.3,0.66,0.084,295,0.06,0.102,6.6,0.22,0.32,Vegetable
2345349,60,5.66,0.04,227,5.014,10.406,4.374,1.3,26,0,0.55,10,0.642,78,4.76,33,0.104,6.4,3.19,0.086,57,0.21,0.083,6,0.95,0.59,Vegetable
2345350,67,3.84,0.072,44,0.784,0.258,0.852,1.6,36,0,1.07,15,0.94,49,2.62,7,0.104,3.2,1.34,0.062,239,0.11,0.092,5.5,0.41,0.43,Vegetable
2345351,60,2.09,0.069,84,1.924,0.833,1.549,1.2,93,0,1.22,71,1.119,91,7.02,32,0.264,10,0.54,0.107,236,0.31,0.202,19.1,1.71,0.75,Vegetable
2345352,26,2.48,0.061,92,2.117,0.63,1.045,1.2,27,0,0.54,18,3.643,121,11.36,15,0.124,11.2,1.08,0.074,57,0.2,0.188,8.9,0.66,0.57,Vegetable
2345353,8,3.75,0,15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,3.75,0,0,0,0,3.8,0,0,Fruit
2345354,21,11.91,0.127,53,0.011,0.145,0.079,5.7,89,0,0.61,42,1.107,73,2.88,0,0.089,0.2,0.99,0.05,1,0,0.081,7.4,0.19,0.4,Vegetable
2345355,21,11.91,0.127,53,0.011,0.145,0.079,5.7,89,0,0.61,42,1.107,73,2.88,0,0.089,0.2,0.99,0.05,1,0,0.081,7.4,0.19,0.4,Vegetable
2345356,21,11.57,0.123,74,0.884,0.897,0.747,5.5,86,0,0.59,41,1.075,71,2.81,11,0.086,0.2,0.96,0.048,12,0,0.095,7.2,0.52,0.39,Vegetable
2345357,26,4.16,0.203,21,0,0.054,0.043,2.3,47,0,2.29,15,0.996,56,2.36,0,0.144,2.5,2.02,0.138,39,0,0.088,5.1,1.21,0.58,Vegetable
2345358,18,1.91,0.105,18,0.013,0.184,0.096,1.6,135,0,0.56,10,1.035,49,2.94,0,0.103,3.9,0.32,0.065,40,0,0.02,24.3,1.2,0.41,Vegetable
2345359,16,2.46,0.096,19,0.021,0.284,0.147,1.6,91,0,1.83,10,0.954,43,2.14,0,0.1,1.7,1.06,0.058,41,0,0.11,16.6,1.22,0.4,Vegetable
2345360,25,4.04,0.197,45,0.939,0.866,0.762,2.2,46,0,2.23,15,0.967,54,2.3,12,0.14,2.4,1.96,0.134,50,0,0.103,5,1.54,0.56,Vegetable
2345361,25,4.04,0.197,45,0.939,0.866,0.762,2.2,46,0,2.23,15,0.967,54,2.3,12,0.14,2.4,1.96,0.134,50,0,0.103,5,1.54,0.56,Vegetable
2345362,18,1.86,0.102,40,0.886,0.936,0.763,1.5,131,0,0.55,10,1.005,48,2.86,11,0.1,3.8,0.32,0.063,50,0,0.036,23.6,1.5,0.4,Vegetable
2345363,16,2.39,0.093,41,0.896,1.035,0.815,1.6,89,0,1.78,10,0.926,42,2.09,11,0.097,1.6,1.03,0.056,51,0,0.123,16.1,1.52,0.39,Vegetable
2345364,25,4.04,0.197,49,1.259,1.309,0.468,2.2,46,0,2.23,15,0.967,54,2.29,0,0.139,2.4,1.96,0.134,38,0,0.085,5,1.68,0.56,Vegetable
2345365,26,4.05,0.197,42,0.619,0.423,1.057,2.2,46,0,2.23,15,0.967,55,2.31,24,0.14,2.4,1.97,0.134,62,0,0.12,5,1.4,0.56,Vegetable
2345366,18,1.86,0.102,44,1.183,1.348,0.49,1.5,131,0,0.55,10,1.005,47,2.86,0,0.1,3.8,0.31,0.063,39,0,0.019,23.6,1.63,0.4,Vegetable
2345367,18,1.87,0.102,37,0.589,0.524,1.037,1.5,131,0,0.54,10,1.005,48,2.87,22,0.1,3.8,0.32,0.063,61,0,0.052,23.6,1.37,0.4,Vegetable
2345368,16,2.39,0.093,45,1.195,1.448,0.541,1.6,89,0,1.78,10,0.926,42,2.08,0,0.097,1.6,1.03,0.056,40,0,0.107,16.1,1.66,0.39,Vegetable
2345369,16,2.4,0.093,38,0.598,0.622,1.089,1.6,89,0,1.78,10,0.926,42,2.09,22,0.097,1.6,1.04,0.056,63,0,0.14,16.1,1.4,0.39,Vegetable
2345370,8,3.13,0.111,41,0.885,0.932,0.762,1.4,3,0,0.31,4,0.136,25,1.68,11,0.025,0.5,1.84,0.024,12,0,0.148,1,0.95,0.63,Vegetable
2345371,30,19.26,0.169,103,0.02,0.163,0.077,5.3,21,0,1.82,42,1.066,97,6.05,0,0.061,0.6,1.34,0.074,10,0,0.122,12.8,0.29,0.74,Vegetable
2345372,29,18.71,0.165,123,0.893,0.915,0.745,5.1,20,0,1.76,41,1.035,94,5.88,11,0.059,0.6,1.3,0.072,21,0,0.134,12.4,0.62,0.72,Vegetable
2345373,30,18.62,0.164,122,0.888,0.91,0.741,5.1,20,0,1.76,40,1.03,94,5.86,11,0.059,0.6,1.3,0.071,21,0,0.134,12.3,0.62,0.71,Vegetable
2345392,39,22.69,0.074,220,4.975,5.077,1.82,1.8,52,33,1.92,18,2.022,54,3.98,5,0.163,5.5,1.62,0.276,18,0.04,0.071,4.1,2.14,0.35,Vegetable
2345394,56,6.08,0.256,116,1.838,3.224,1.31,3.3,40,0,2.81,48,0.589,132,9.8,11,0.187,3.8,2.83,0.099,12,0,0.156,6.3,0.54,0.78,Vegetable
2345395,17,9.93,0.078,45,0.033,0.062,0.028,2.9,96,0,0.83,24,0.33,42,1.67,0,0.039,0.7,7.02,0.029,2,0,0.063,4.3,0.04,0.36,Vegetable
2345396,15,7.21,0.059,31,0.027,0.049,0.022,1.8,28,0,1.82,17,0.157,17,0.91,0,0.04,0.5,5.51,0.01,1,0,0.057,3.7,0.03,0.21,Vegetable
2345397,15,7,0.057,53,0.902,0.807,0.694,1.7,28,0,1.77,17,0.153,17,0.89,11,0.039,0.5,5.36,0.009,12,0,0.072,3.6,0.37,0.2,Vegetable
2345398,17,9.65,0.076,67,0.942,0.849,0.726,2.8,93,0,0.81,23,0.32,41,1.63,11,0.039,0.7,6.82,0.028,14,0,0.078,4.2,0.39,0.35,Vegetable
2345399,15,7,0.057,53,0.902,0.807,0.694,1.7,28,0,1.77,17,0.153,17,0.89,11,0.039,0.5,5.36,0.009,12,0,0.072,3.6,0.37,0.2,Vegetable
2345400,14,6.79,0.1,53,0.945,0.834,0.727,1.2,29,0,0.65,17,0.156,17,0.84,12,0.039,0.5,5.56,0.01,13,0,0.074,2.6,0.39,0.24,Vegetable
2345401,9,4.19,0.032,41,0.905,0.833,0.684,1.9,49,0,0.37,16,0.271,35,0.82,11,0.051,0.2,1.89,0.049,17,0,0.056,31.9,0.48,0.75,Vegetable
2345402,17,26.26,0.081,123,0.906,0.821,0.717,4.7,12,0,0.53,24,0.828,29,1.04,11,0.028,0.6,10.65,0.096,11,0,0.103,23.9,0.44,0.12,Vegetable
2345403,34,6.15,0.041,55,0.938,0.923,0.746,3.2,49,0,0.74,20,0.703,63,2.98,11,0.098,0.6,3.06,0.073,19,0,0.219,75.5,0.39,0.65,Vegetable
2345404,44,9.3,0.073,45,0.024,0.159,0.064,3.9,54,0,1.45,24,0.735,72,3.51,0,0.089,1.7,2.28,0.13,37,0,0.205,75,0.91,0.44,Vegetable
2345405,26,8.3,0.034,42,0.03,0.199,0.081,4.1,101,0,0.48,18,0.535,56,3.63,0,0.113,0.6,2.07,0.103,46,0,0.288,45.6,0.51,0.24,Vegetable
2345406,43,9.03,0.071,67,0.933,0.943,0.761,3.8,52,0,1.42,23,0.714,70,3.42,11,0.086,1.6,2.22,0.126,48,0,0.216,72.9,1.24,0.42,Vegetable
2345407,43,9.03,0.071,67,0.933,0.943,0.761,3.8,52,0,1.42,23,0.714,70,3.42,11,0.086,1.6,2.22,0.126,48,0,0.216,72.9,1.24,0.42,Vegetable
2345408,26,8.06,0.033,64,0.902,0.951,0.749,4,98,0,0.47,17,0.52,54,3.53,11,0.11,0.6,2.02,0.1,56,0,0.296,44.2,0.83,0.23,Vegetable
2345409,43,18.06,0.08,100,0.978,0.875,0.747,3.4,20,0,0.84,40,0.297,53,1.6,12,0.03,0.7,3.02,0.009,12,0,0.242,2.7,0.76,0.34,Vegetable
2345418,164,3.32,0.052,16,0.018,0.05,0.016,2.2,3,0,0.59,52,0.388,16,1.32,0,0.039,0.7,1.15,0.011,22,0,0.063,7.9,0,0.25,Vegetable
2345419,159,3.23,0.05,38,0.891,0.805,0.686,2.1,3,0,0.57,50,0.377,16,1.29,11,0.038,0.7,1.12,0.011,33,0,0.077,7.7,0.34,0.24,Vegetable
2345420,23,5.16,0.041,26,0.035,0.032,0.135,2.1,50,0,0.44,16,0.5,46,1.99,0,0.059,0.6,1.98,0.047,0,0,0.172,42.5,0.08,0.28,Vegetable
2345421,17,3.74,0.024,19,0.015,0.105,0.034,2.7,41,0,0.41,9,0.309,24,1.6,0,0.053,0.6,1.05,0.037,0,0,0.088,31.2,0.06,0.13,Vegetable
2345422,23,5.02,0.039,49,0.944,0.82,0.829,2,49,0,0.43,15,0.486,45,1.94,11,0.058,0.6,1.93,0.045,12,0,0.184,41.3,0.44,0.27,Vegetable
2345423,23,5.02,0.039,49,0.944,0.82,0.829,2,49,0,0.43,15,0.486,45,1.94,11,0.058,0.6,1.93,0.045,12,0,0.184,41.3,0.44,0.27,Vegetable
2345424,17,3.64,0.023,41,0.888,0.859,0.703,2.6,40,0,0.4,9,0.3,24,1.57,11,0.051,0.6,1.02,0.036,11,0,0.102,30.3,0.4,0.13,Vegetable
2345425,22,5.01,0.039,52,1.254,1.249,0.544,2,49,0,0.43,15,0.486,44,1.94,0,0.057,0.6,1.93,0.045,0,0,0.167,41.3,0.57,0.27,Vegetable
2345426,23,5.02,0.039,46,0.634,0.391,1.114,2,49,0,0.42,15,0.486,45,1.95,23,0.058,0.6,1.94,0.046,24,0,0.201,41.3,0.3,0.27,Vegetable
2345427,17,3.63,0.023,45,1.185,1.271,0.43,2.6,40,0,0.4,9,0.3,23,1.56,0,0.051,0.6,1.02,0.036,0,0,0.085,30.3,0.53,0.13,Vegetable
2345428,17,3.64,0.023,38,0.59,0.447,0.977,2.6,40,0,0.4,9,0.3,24,1.58,22,0.052,0.6,1.03,0.036,23,0,0.118,30.3,0.27,0.13,Vegetable
2345429,42,3.1,0.036,39,0.972,0.896,0.765,1.7,32,0,0.21,11,0.317,25,0.73,12,0.057,0.4,1.4,0.02,34,0,0.087,2.7,0.65,0.14,Vegetable
2345430,56,8.32,0.075,62,1.105,1.083,0.891,3.5,26,0,0.84,19,0.693,57,1.42,13,0.035,0.8,4.48,0.01,65,0,0.067,11.6,1.06,0.23,Vegetable
2345431,18,4.7,0.128,44,0.95,0.873,0.75,1.8,82,0,0.36,13,0.465,19,0.86,12,0.029,0.2,1.73,0.024,12,0,0.089,6.8,0.49,0.77,Vegetable
2345451,19,4.14,0.047,44,1.033,0.927,0.831,0.6,7,0,0.32,15,0.106,28,0.75,13,0.036,0.3,1.91,0.028,19,0,0.06,2.7,0.43,0.23,Vegetable
2345452,10,6.3,0.087,27,0.017,0.081,0.036,3.2,20,0,0.25,15,0.661,26,1.05,0,0.038,0.3,3.78,0.038,1,0,0.081,2,0.32,0.17,Vegetable
2345453,10,6.13,0.084,51,0.956,0.893,0.756,3.1,20,0,0.24,15,0.642,25,1.03,12,0.037,0.3,3.68,0.037,13,0,0.096,1.9,0.68,0.17,Vegetable
2345454,36,3.2,0.097,37,0.883,0.761,0.71,0.9,40,0,0.86,24,0.3,33,1.06,11,0.031,0.7,2.33,0.018,96,0,0.065,4.8,0.38,0.1,Vegetable
2345457,25,6.26,0.13,51,0.917,0.837,0.711,3.6,14,0,0.41,19,0.383,47,1.72,11,0.019,0.7,2.63,0.045,14,0,0.153,53.1,0.84,0.03,Vegetable
2345459,26,15.51,0.21,87,0.887,0.771,0.691,3,8,0,0.87,21,0.291,76,1.54,11,0.01,0.6,0.49,0.123,11,0,0.227,26.5,0.35,0.32,Vegetable
2345460,6,5.15,0.454,39,0,0.199,0.062,1.2,37,0,0.28,12,4.633,116,3.61,0,0.536,23.7,2.47,0.059,0,0.05,0.092,2.2,0.01,0.62,Vegetable
2345461,6,5,0.441,66,1.092,1.14,0.898,1.2,36,0,0.28,12,4.498,113,3.52,14,0.521,23,2.4,0.058,14,0.05,0.11,2.2,0.44,0.6,Vegetable
2345462,6,5,0.441,66,1.092,1.14,0.898,1.2,36,0,0.28,12,4.498,113,3.52,14,0.521,23,2.4,0.058,14,0.05,0.11,2.2,0.44,0.6,Vegetable
2345463,11,4.95,0.228,47,0.881,0.869,0.709,2.3,11,0,0.77,15,1.547,64,1.82,11,0.021,4,2.28,0.078,11,0,0.076,0,0.35,0.7,Vegetable
2345464,6,5,0.44,70,1.464,1.655,0.556,1.2,36,0,0.28,12,4.498,113,3.5,0,0.521,23,2.4,0.058,0,0.05,0.089,2.2,0.6,0.6,Vegetable
2345465,7,5.01,0.441,62,0.72,0.625,1.241,1.2,36,0,0.28,12,4.498,113,3.52,27,0.521,23,2.41,0.058,28,0.05,0.13,2.2,0.28,0.6,Vegetable
2345466,1,8.15,0.05,44,0,0.16,0.05,1,32,0,0.14,14,2.733,76,2.4,0,0.215,1.2,1.97,0.001,0,0.04,0.159,2.1,0.01,0.76,Vegetable
2345467,88,7.99,0.117,35,0.018,0.029,0.028,3.4,55,0,0.66,61,1.018,65,2.07,0,0.061,0.8,1.59,0.193,37,0,0.207,21,0.29,0.62,Vegetable
2345468,74,6.39,0.076,29,0.04,0.064,0.063,2.1,100,0,0.52,40,0.614,37,1.62,0,0.096,0.6,2.86,0.073,15,0,0.037,9.6,0.32,0.49,Vegetable
2345469,86,7.76,0.114,59,0.957,0.842,0.748,3.3,53,0,0.65,59,0.989,64,2.02,12,0.06,0.7,1.55,0.187,48,0,0.219,20.4,0.65,0.6,Vegetable
2345470,86,7.76,0.114,59,0.957,0.842,0.748,3.3,53,0,0.65,59,0.989,64,2.02,12,0.06,0.7,1.55,0.187,48,0,0.219,20.4,0.65,0.6,Vegetable
2345471,72,6.21,0.074,51,0.912,0.819,0.731,2,97,0,0.51,39,0.596,36,1.59,11,0.093,0.6,2.78,0.071,26,0,0.052,9.3,0.65,0.48,Vegetable
2345477,18,24.8,0.623,134,0.878,0.843,0.715,1.5,20,0,1.64,10,0.828,136,2.62,11,0.166,0.7,16.62,0.044,14,0,0.722,6.6,0.82,3.61,Vegetable
2345478,36,16.47,0.134,92,0.982,0.803,0.719,3.5,56,0,0.56,28,0.701,67,1.29,11,0.05,1.6,4.65,0.08,11,0,0.106,12.6,1.31,0.25,Vegetable
2345479,23,23.01,0.178,151,0.931,1.028,0.84,6.2,137,0,2.06,48,0.705,118,8.23,11,0.062,3.3,4.32,0.252,15,0,0.108,2.5,0.63,1.38,Vegetable
2345480,23,22.9,0.177,150,0.927,1.023,0.836,6.2,136,0,2.04,48,0.701,118,8.19,11,0.062,3.3,4.3,0.251,15,0,0.108,2.5,0.63,1.37,Vegetable
2345481,25,14.28,0.174,119,1.519,1.472,1.21,5.6,55,0,1.46,33,1.961,107,5.37,19,0.124,1.8,5.61,0.237,55,0,0.178,33.6,0.71,1.23,Vegetable
2345482,26,15.01,0.183,84,0.036,0.194,0.074,5.9,57,0,1.53,34,2.062,112,5.63,0,0.13,1.9,5.89,0.249,37,0,0.158,35.3,0.14,1.29,Vegetable
2345483,24,14.22,0.105,78,0.024,0.129,0.049,4.5,59,0,1.52,22,1.476,77,5.14,0,0.1,1,4.39,0.282,105,0,0.113,9.9,0.03,0.67,Vegetable
2345484,23,11.36,0.106,68,0.071,0.375,0.143,4.9,29,0,1.18,18,0.979,67,4.47,0,0.053,1.7,2.99,0.102,43,0,0.056,3.8,0.38,0.66,Vegetable
2345485,24,13.81,0.102,98,0.897,0.882,0.718,4.4,57,0,1.47,21,1.433,75,4.99,11,0.097,1,4.26,0.274,113,0,0.126,9.6,0.37,0.65,Vegetable
2345486,26,14.58,0.178,106,0.945,0.977,0.77,5.7,56,0,1.48,33,2.002,109,5.47,11,0.127,1.8,5.72,0.241,48,0,0.17,34.3,0.48,1.25,Vegetable
2345487,24,13.81,0.102,98,0.897,0.882,0.718,4.4,57,0,1.47,21,1.433,75,4.99,11,0.097,1,4.26,0.274,113,0,0.126,9.6,0.37,0.65,Vegetable
2345488,23,11.03,0.103,89,0.945,1.123,0.811,4.8,29,0,1.15,18,0.951,65,4.35,11,0.052,1.6,2.91,0.099,53,0,0.071,3.7,0.71,0.64,Vegetable
2345489,25,14.57,0.177,109,1.255,1.406,0.485,5.7,56,0,1.49,33,2.002,109,5.46,0,0.126,1.8,5.72,0.241,36,0,0.153,34.3,0.62,1.25,Vegetable
2345490,26,14.58,0.178,102,0.635,0.548,1.055,5.7,56,0,1.48,33,2.002,109,5.48,23,0.127,1.8,5.73,0.242,60,0,0.187,34.3,0.35,1.25,Vegetable
2345491,23,13.8,0.102,102,1.194,1.294,0.444,4.4,57,0,1.48,21,1.433,75,4.99,0,0.097,1,4.26,0.274,102,0,0.109,9.6,0.5,0.65,Vegetable
2345492,24,13.82,0.102,95,0.599,0.47,0.991,4.4,57,0,1.47,21,1.433,75,5,22,0.097,1,4.27,0.274,124,0,0.142,9.6,0.24,0.65,Vegetable
2345493,22,11.03,0.103,92,1.243,1.536,0.537,4.8,29,0,1.15,17,0.95,65,4.34,0,0.051,1.6,2.9,0.099,42,0,0.054,3.7,0.84,0.64,Vegetable
2345494,23,11.04,0.103,86,0.647,0.71,1.086,4.8,29,0,1.15,18,0.951,66,4.36,22,0.052,1.6,2.91,0.099,65,0,0.087,3.7,0.58,0.64,Vegetable
2345495,22,12.19,0.135,66,0.034,0.178,0.068,4.1,34,0,1.27,21,1.052,66,3.99,0,0.091,1.6,4,0.132,90,0,0.081,11,0.02,0.88,Vegetable
2345496,22,11.84,0.131,93,1.128,1.121,0.906,4,33,0,1.24,21,1.022,65,3.88,14,0.089,1.6,3.89,0.128,102,0,0.099,10.7,0.45,0.85,Vegetable
